source_post_id,source_author,source_publish_time,raw_after_generic_filter,hot_repost_count,source_day_count,plus_1_day_count,plus_3_day_count,plus_7_day_count,chosen_window,kept_count,target_count,max_api_page,reached_target,reason
5191860125701548,疾风怪宝,2025-07-24 09:09:00,4,3,1,0,0,0,+7,4,80,1,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192118454714744,张碧晨Studio,2025-07-25 02:16:00,102,5,3,0,50,26,+7,84,80,12,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192180966884693,梨视频,2025-07-25 06:24:00,84,5,55,6,18,0,+3,84,80,9,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192185603425201,梨视频,2025-07-25 06:42:00,80,2,56,17,5,0,+3,80,80,15,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192201542041696,疾风怪宝,2025-07-25 07:46:00,24,2,22,0,0,0,+7,24,80,4,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192213254637086,现代快报,2025-07-25 08:32:00,85,3,81,1,0,0,source_day,84,80,15,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192216146350121,Music_Data,2025-07-25 08:44:00,3,3,0,0,0,0,+7,3,80,1,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192222030957650,一只小团子嘻,2025-07-25 09:07:00,82,1,81,0,0,0,source_day,82,80,9,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192232709657176,互联网猫猫头,2025-07-25 09:50:00,79,1,77,0,1,0,+7,79,80,11,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192245323497937,娱乐扒皮,2025-07-25 10:40:00,87,2,59,3,22,1,+3,86,80,10,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192262918340717,404企划,2025-07-25 11:50:00,67,2,65,0,0,0,+7,67,80,9,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192304609987365,小野的瓜田,2025-07-25 14:35:00,78,2,70,6,0,0,+7,78,80,10,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192314130530481,新浪热点,2025-07-25 15:13:00,81,4,45,29,2,1,+3,80,80,10,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192364392189679,君君的旅行日记,2025-07-25 18:33:00,86,4,0,0,0,82,+7,86,80,6,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192371266390237,新浪娱乐,2025-07-25 19:00:00,93,4,0,56,27,2,+3,87,80,14,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192387968108888,钱江晚报,2025-07-25 20:07:00,85,2,0,70,10,3,+3,82,80,11,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192388643657003,顾小西X,2025-07-25 20:09:00,69,4,59,6,0,0,+7,69,80,10,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192407907831105,AUTO老徐,2025-07-25 21:26:00,84,2,5,73,3,1,+1,80,80,14,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192425829308399,何牧歌耶,2025-07-25 22:37:00,90,3,0,75,9,3,+3,87,80,12,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192562119279793,饭圈天真妹,2025-07-26 07:39:00,87,3,80,4,0,0,source_day,83,80,13,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192648514341443,腮ilence,2025-07-26 13:22:00,85,1,70,6,3,5,+3,80,80,10,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192673235307954,新浪娱乐,2025-07-26 15:00:00,89,1,77,7,4,0,+1,85,80,11,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192687763849788,新浪热点,2025-07-26 15:58:00,83,4,13,64,2,0,+1,81,80,10,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5192992770229580,蚊子下鸡蛋,2025-07-27 12:10:00,83,4,75,4,0,0,+1,83,80,11,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5193048411868924,明星娱乐新闻,2025-07-27 15:51:00,86,1,82,3,0,0,source_day,83,80,13,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5193479271744937,MIT_短腿涵,2025-07-28 20:23:00,86,1,0,69,9,4,+7,83,80,10,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5193503950769345,校草收纳箱,2025-07-28 22:01:00,89,2,87,0,0,0,source_day,89,80,5,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
