id,data_type,platform,source_id,publish_time,author_name,author_type,text_raw,text_clean,like_count,comment_count,repost_count,stance,frame,emotion,event_stage,keyword_hit,is_valid
5193607130906771,repost,weibo,5191860125701548,2025-07-29 04:51:34,hi2019201904,ordinary_user,不想和没开过真世界巡演被鲜花社点赞中国音乐世界时刻的说话了，进IFPI专辑实销榜TOP。2025联合国献唱光亮又是谁的一辈子，和平颂今年又被几百名联合国员工唱响，又连线周深上央视新闻，2021年周深就成为大使，献唱cop15主题曲， Cop15什么级别搜【 Cop15主旨讲话 】吓4⃣️你（法师永远到不了的高度//,不想和没开过真世界巡演被鲜花社点赞中国音乐世界时刻的说话了，进IFPI专辑实销榜TOP。2025联合国献唱光亮又是谁的一辈子，和平颂今年又被几百名联合国员工唱响，又连线周深上央视新闻，2021年周深就成为大使，献唱cop15主题曲， Cop15什么级别搜【 Cop15主旨讲话 】吓4你（法师永远到不了的高度//,0,0,0,support_wang,platform_meta,unclear,debate,联合国;巡演;实销;主题曲;专辑,1
5192229237034425,repost,weibo,5191860125701548,2025-07-25 09:36:20,小山村居民,ordinary_user,回复@哥特儿三岁呀:黄霄云才是真正的版权守护者！因为她的翻唱得到了版权方完整的正规授权，而华晨雨就是个原唱，词曲创作跟他无关。新的专利法来规定，原唱的演唱权同样需要得到版权方授予，从法律上看与翻唱完全一个地位，没有任何区别。华晨雨及其火鸡🦃开创了没权硬维的先河，脸皮真厚！//,回复,0,0,0,support_wang,copyright_authorization,unclear,response,版权;翻唱;原唱;词曲创作;演唱,1
5191869751365468,repost,weibo,5191860125701548,2025-07-24 09:47:52,木其棋Y,ordinary_user,#旺仔小乔说年轮原唱不是汪苏泷#,#旺仔小乔说年轮原唱不是汪苏泷#,0,0,0,support_wang,copyright_authorization,unclear,outbreak,原唱;年轮,1
5192249109649880,repost,weibo,5192118454714744,2025-07-25 10:55:18,张碧晨的钻石白,ordinary_user,@张碧晨 始终合法合规使用作品，对创作者尊重。她珍视每一次音乐合作，更以敬畏之心守护作品的完整与纯粹。演唱者在作品传播中赋予的生命力、与听众共同缔造的情感联结，是十年间无数次共鸣的起点，这份意义不该被模糊、被消解。,始终合法合规使用作品，对创作者尊重。她珍视每一次音乐合作，更以敬畏之心守护作品的完整与纯粹。演唱者在作品传播中赋予的生命力、与听众共同缔造的情感联结，是十年间无数次共鸣的起点，这份意义不该被模糊、被消解。,208,5,6395,support_wang,copyright_authorization,unclear,response,作品,1
5192250499534168,repost,weibo,5192118454714744,2025-07-25 11:00:49,张碧晨官方后援会,ordinary_user,#张碧晨方回应年轮原唱#回顾这段音乐旅程，@张碧晨 以独特诠释赋予作品温度与力量，让共鸣跨越时光。我们始终坚信，音乐本应纯粹，毕竟，能让一首歌真正扎根听众心里被反复提及的，从来不是别的，而是那份藏在歌声里的真[心],#张碧晨方回应年轮原唱#回顾这段音乐旅程， 以独特诠释赋予作品温度与力量，让共鸣跨越时光。我们始终坚信，音乐本应纯粹，毕竟，能让一首歌真正扎根听众心里被反复提及的，从来不是别的，而是那份藏在歌声里的真,852,290,6298,support_zhang,copyright_authorization,unclear,response,原唱;年轮,1
5192313014062867,repost,weibo,5192118454714744,2025-07-25 15:09:14,二呆的颜颜鸭,ordinary_user,00:05 汪苏泷方发布收回演唱授权 02：16 张碧晨方清楚声明唯一原唱 03：35汪苏泷经纪人提到双版本而非双原唱 问题就在这。汪苏泷方为什么要讲双版本而不讲双原唱，模糊不清。而张碧晨方是清楚声明是唯一原唱。,00:05 汪苏泷方发布收回演唱授权 02：16 张碧晨方清楚声明唯一原唱 03：35汪苏泷经纪人提到双版本而非双原唱 问题就在这。汪苏泷方为什么要讲双版本而不讲双原唱，模糊不清。而张碧晨方是清楚声明是唯一原唱。,28,1,3407,support_wang,platform_meta,unclear,response,声明;演唱;授权;收回,1
5192314072075627,repost,weibo,5192118454714744,2025-07-25 15:13:26,呆萌想吃烤冷面_歌手战斗版,ordinary_user,支持张碧晨年轮唯一原唱，从未否认并尊重原创，11周年之际，我们共同期待歌手张碧晨未来的成长！！,支持张碧晨年轮唯一原唱，从未否认并尊重原创，11周年之际，我们共同期待歌手张碧晨未来的成长！！,24,0,3405,support_zhang,original_singer,unclear,response,年轮;歌手;否认;期待;成长;原创;支持,1
5192316002503681,repost,weibo,5192118454714744,2025-07-25 15:21:06,晨晨的小歌迷,ordinary_user,"根据我国《著作权法》及行业通行惯例,“原唱”指首次公开发行或表演该作品的歌手。经所有可查证的公开音乐发行记录明确显示，张碧晨女土演唱的《年轮》是首个公开发行并广泛传播的录音版本。并且在2015年受邀演唱歌曲时,也从未被告知该歌曲在同时期有其他艺人再版，也并未在合同签署中有过关于约定多版","根据我国《著作权法》及行业通行惯例,原唱指首次公开发行或表演该作品的歌手。经所有可查证的公开音乐发行记录明确显示，张碧晨女土演唱的《年轮》是首个公开发行并广泛传播的录音版本。并且在2015年受邀演唱歌曲时,也从未被告知该歌曲在同时期有其他艺人再版，也并未在合同签署中有过关于约定多版",15,0,3403,support_zhang,legal_discussion,unclear,response,歌曲;演唱;发行;原唱;年轮;歌手,1
5192261521901369,repost,weibo,5192118454714744,2025-07-25 11:44:37,酥绒星鸢,ordinary_user,汪苏泷方及粉丝自始至终坚持「双原唱」，从未否认过张碧晨方原唱身份，作为剧方邀约的「作词作曲+演唱」者立项之初便为原唱，收回一切授权后也坚称双原唱；张碧晨方引导粉丝并官方宣称「唯一原唱」，不尊重他人劳动成果，引导粉丝挑起对立,汪苏泷方及粉丝自始至终坚持「双原唱」，从未否认过张碧晨方原唱身份，作为剧方邀约的「作词作曲+演唱」者立项之初便为原唱，收回一切授权后也坚称双原唱；张碧晨方引导粉丝并官方宣称「唯一原唱」，不尊重他人劳动成果，引导粉丝挑起对立,516,1,2034,support_wang,creator_identity,unclear,response,粉丝;原唱;引导;劳动成果;演唱;对立;否认;授权;收回,1
5194921896055539,repost,weibo,5192118454714744,2025-08-01 19:56:00,其实是两个呆,ordinary_user,原唱还得列出证据证明自己是唯一原唱，真的太离谱了[跪了][跪了][跪了],原唱还得列出证据证明自己是唯一原唱，真的太离谱了,1,0,1,support_zhang,original_singer,unclear,cooldown,原唱;证明,1
5194315934728591,repost,weibo,5192118454714744,2025-07-31 03:48:07,阿酱yx,ordinary_user,在豆瓣吃了一晚上瓜了，开始怜爱这姐了，怎么到处被造谣的还有黄谣，太惨了[允悲] 原来人家工作室发的声明里面很清晰啊这证据。,在豆瓣吃了一晚上瓜了，开始怜爱这姐了，怎么到处被造谣的还有黄谣，太惨了 原来人家工作室发的声明里面很清晰啊这证据。,1,0,0,support_zhang,platform_meta,unclear,debate,工作室;声明,1
5194279192364830,repost,weibo,5192118454714744,2025-07-31 01:22:07,Jiet518,ordinary_user,回复@Jiet518:最后，张碧晨，你在歌曲和舞台上的所有努力，都会被你身边的家人和工作室给搞死！ 你最大的问题不是你自己，也不是是你的粉丝，而是你身边的人，好声音旁白的父母，跟花花去玩的朋友，和现在发生的工作室！ 你，张碧晨，工作室的言语是的的吗？！//@Jiet518:1、工作室戾气是否代表明星戾,回复 你最大的问题不是你自己，也不是是你的粉丝，而是你身边的人，好声音旁白的父母，跟花花去玩的朋友，和现在发生的工作室！ 你，张碧晨，工作室的言语是的的吗？！//,0,0,0,support_wang,fan_conflict,unclear,debate,工作室;粉丝;歌曲,1
